Data.set,Source,Predation.Parasitism,Dim,Field,Habitat,Fresh_Marine,Predator_Cellularity,Pred_Vert.Invert,Pred_Major_Grouping_1,Pred_Major_Grouping_2,Predator_Scientific_Name,Predator_Type,Trophic_Level_Predator,Prey_Cellularity,Prey_Vert.Invert,Prey_Major_Group_1,Prey_Major_Group_2,Prey,Prey_scientific_name,Prey_type,Trophic_Level_prey,Data_type,Prey_Replaced,Hours_starved,Temp_C,Interference,Pred_per_arena,X2D_Arena_Size_cm2,X3D_arena_size_cm3,Pred_mass_mg,Pred_Mass_Source,Pred_Mass_ID,Prey_mass_mg,Prey_Mass_Source,Prey_Mass_ID,Units_a,R2_Mean,Fitted_a,CI_a_low,CI_a_hi,Fitted_h_day,CI_h_low,CI_h_hi,Notes.1,Include_Biotic_Prey
32,DeBlois and Leggett 1991 MAR ECOL PROG SER,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Calliopius laeviusculus,Adult?,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Egg,,Raw data,N,24,7.5,,,,1.00E+03,1.09E+01,Alternate species length,1,,,,m^3 per pred per day,117.89,2.26E-06,1.36E-06,3.62E-06,2.87E-02,2.05E-02,4.06E-02,,0
33,DeBlois and Leggett 1991 MAR ECOL PROG SER,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Calliopius laeviusculus,Adult?,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Egg,,Raw data,N,24,7.5,,,,1.00E+03,1.09E+01,Alternate species length,1,,,,m^3 per pred per day,24.65,8.00E-07,5.75E-07,1.00E-06,7.01E-02,5.43E-02,8.05E-02,,0
34,Thompson 1978 J ANIM ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2,Mean,N,48,5,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,25.82,9.72E-05,3.42E-05,5.14E-04,3.00E-01,1.97E-01,3.70E-01,,1
35,Thompson 1978 J ANIM ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2,Mean,N,48,8,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,35.52,5.10E-05,3.96E-05,6.65E-05,5.42E-02,4.28E-02,6.57E-02,,1
36,Thompson 1978 J ANIM ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2,Mean,N,48,12,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,67.43,8.25E-05,6.15E-05,1.06E-04,4.48E-02,3.63E-02,5.32E-02,,1
37,Thompson 1978 J ANIM ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2,Mean,N,48,16,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,80.59,1.28E-04,1.09E-04,1.44E-04,2.36E-02,2.10E-02,2.61E-02,,1
38,Thompson 1978 J ANIM ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2,Mean,N,48,20,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,71.96,1.47E-04,1.26E-04,1.72E-04,2.65E-02,2.41E-02,2.87E-02,,1
39,Thompson 1978 J ANIM ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2,Mean,N,48,27,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,70.11,1.32E-04,1.12E-04,1.52E-04,2.21E-02,1.96E-02,2.46E-02,,1
40,Zhang et al 2012 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius similis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Spider mite,Tetranychus cinnabarinus,3rd or 4th instar,2,Mean,N,24,25,,1,6.36E+01,,4.93E+01,Average genus mass,1,,,,m^2 per pred per day,206.83,7.37E-03,5.51E-03,1.01E-02,2.94E-02,1.73E-02,4.07E-02,,1
41,Zhang et al 2012 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius similis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Spider mite,Tetranychus cinnabarinus,3rd or 4th instar,2,Mean,N,24,28,,1,6.36E+01,,4.93E+01,Average genus mass,1,,,,m^2 per pred per day,206.5,7.45E-03,5.92E-03,9.17E-03,1.61E-02,9.20E-03,2.23E-02,,1
