Data.set,Source,Predation.Parasitism,Dim,Field,Habitat,Fresh_Marine,Predator_Cellularity,Pred_Vert.Invert,Pred_Major_Grouping_1,Pred_Major_Grouping_2,Predator_Scientific_Name,Predator_Type,Trophic_Level_Predator,Prey_Cellularity,Prey_Vert.Invert,Prey_Major_Group_1,Prey_Major_Group_2,Prey,Prey_scientific_name,Prey_type,Trophic_Level_prey,Data_type,Prey_Replaced,Hours_starved,Temp_C,Interference,Pred_per_arena,X2D_Arena_Size_cm2,X3D_arena_size_cm3,Pred_mass_mg,Pred_Mass_Source,Pred_Mass_ID,Prey_mass_mg,Prey_Mass_Source,Prey_Mass_ID,Units_a,R2_Mean,Fitted_a,CI_a_low,CI_a_hi,Fitted_h_day,CI_h_low,CI_h_hi,Notes.1,Include_Biotic_Prey
934,Parajulee et al 1994 BIO CONTROL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Lyctocoris campestris,Adult male,3,Metazoan,Invertebrate,Insect,Coleoptera,Sawtoothed grain beetle,Oryzaephilus surinamensis,Mature larva,2,Mean,N,48,29,,1,3.42E+01,1.88E+02,2.14E+00,Alternate species length,1,6.00E-01,Original species mass,1,m^2.5 per pred per day,110.77,9.49E-04,5.03E-04,1.56E-03,1.15E-01,5.88E-02,1.70E-01,No corn in arena,1
935,Parajulee et al 1994 BIO CONTROL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Lyctocoris campestris,Adult male,3,Metazoan,Invertebrate,Insect,Coleoptera,Red flour beetle,Tribolium castaneum,Mature larva,2,Mean,N,48,29,,1,3.42E+01,1.88E+02,2.14E+00,Alternate species length,1,2.48E+00,Original species mass,3,m^2.5 per pred per day,25.09,1.69E-03,3.46E-04,2.13E-02,5.29E-01,3.41E-01,7.18E-01,Corn in arena,1
936,Parajulee et al 1994 BIO CONTROL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Lyctocoris campestris,Adult male,3,Metazoan,Invertebrate,Insect,Coleoptera,Red flour beetle,Tribolium castaneum,Mature larva,2,Mean,N,48,29,,1,3.42E+01,1.88E+02,2.14E+00,Alternate species length,1,2.48E+00,Original species mass,3,m^2.5 per pred per day,83,1.10E-03,4.61E-04,2.30E-03,1.82E-01,8.03E-02,2.77E-01,No corn in arena,1
937,Nielsen 1999 J ANIM ECOL,Predator,2,Y,Terrestrial,,Metazoan,Vertebrate,Bird,Falconiformes,Falco rusticolus,Wild,,Metazoan,Vertebrate,Bird,Galliformes,Rock ptarmigan (Snow chicken),Lagopus mutus,Wild,,Raw data,Y,,42,,,,,1.41E+06,Alternate species mass,1,5.36E+05,Alternate species mass,1,m^2 per pred per day,-113.33,1.34E+05,7.70E+04,2.86E+05,2.98E+00,2.23E+00,3.42E+00,,1
938,Gresens et al 1982 OEC,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Celithemis fasciata,"Wild caught, ultimate instar",,Metazoan,Invertebrate,Insect,Diptera,Midge,Chironomus tentans,3rd instar,,Mean,N,24,10,,1,6.10E+01,5.00E+02,4.48E+01,Original species length,2,2.17E+00,Original species length,1,m^2.5 per pred per day,127.74,9.42E-04,6.13E-04,3.15E-03,7.78E-08,1.66E-09,8.91E-02,,1
939,Gresens et al 1982 OEC,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Celithemis fasciata,"Wild caught, ultimate instar",,Metazoan,Invertebrate,Insect,Diptera,Midge,Chironomus tentans,3rd instar,,Mean,N,24,15,,1,6.10E+01,5.00E+02,4.48E+01,Original species length,2,2.17E+00,Original species length,1,m^2.5 per pred per day,154.82,2.20E-03,1.69E-03,4.41E-03,5.07E-03,2.45E-09,3.20E-02,,1
940,Gresens et al 1982 OEC,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Celithemis fasciata,"Wild caught, ultimate instar",,Metazoan,Invertebrate,Insect,Diptera,Midge,Chironomus tentans,3rd instar,,Mean,N,24,20,,1,6.10E+01,5.00E+02,4.48E+01,Original species length,2,2.17E+00,Original species length,1,m^2.5 per pred per day,178.32,2.51E-03,1.57E-03,5.45E-03,4.01E-03,8.34E-10,3.42E-02,,1
941,Gresens et al 1982 OEC,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Celithemis fasciata,"Wild caught, ultimate instar",,Metazoan,Invertebrate,Insect,Diptera,Midge,Chironomus tentans,3rd instar,,Mean,N,24,25,,1,6.10E+01,5.00E+02,4.48E+01,Original species length,2,2.17E+00,Original species length,1,m^2.5 per pred per day,176.35,3.02E-03,2.37E-03,6.61E-03,2.57E-08,1.54E-09,2.05E-02,,1
942,Hammill et al 2010 AM NAT,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Platyhelminth,,Stenostomum virginianum,,3,Unicell,Protozoan,Protozoan,Ciliate,,Paramecium aurelia,,2,Raw data,N,,20,,1,,5.00E-01,3.08E-02,Alternate species length,1,1.92E-03,Alternate species length,1,m^3 per pred per day,79.41,6.74E-07,3.44E-07,1.60E-06,6.72E-02,3.60E-02,1.12E-01,Prey not pre-exposed to predators (undefended prey),1
943,Hammill et al 2010 AM NAT,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Platyhelminth,,Stenostomum virginianum,,3,Unicell,Protozoan,Protozoan,Ciliate,,Paramecium aurelia,,2,Raw data,N,,20,,1,,5.00E-01,3.08E-02,Alternate species length,1,1.92E-03,Alternate species length,1,m^3 per pred per day,131.89,1.34E-06,1.07E-06,1.76E-06,1.33E-02,8.45E-03,1.71E-02,Prey pre-exposed to predators (defended),1
944,Krishnaraj & Pritchard 1995 CAN J ZOOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Coenagrion resolutum,Small larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,Small,2,Mean,Y,48,23,,1,7.54E+01,2.50E+02,1.38E+00,Original species length,3,1.29E-01,Original species length,8,m^3 per pred per day,651.41,1.04E-02,7.11E-03,1.61E-02,2.94E-03,2.32E-03,3.65E-03,,1
945,Krishnaraj & Pritchard 1995 CAN J ZOOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Coenagrion resolutum,Medium larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,Medium,2,Mean,Y,48,23,,1,7.54E+01,2.50E+02,3.67E+00,Original species length,2,6.97E-01,Original species length,7,m^3 per pred per day,673.05,1.91E-02,1.17E-02,3.18E-02,2.85E-03,2.28E-03,3.54E-03,,1
946,Krishnaraj & Pritchard 1995 CAN J ZOOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Coenagrion resolutum,Large larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,Large,2,Mean,Y,48,23,,1,7.54E+01,2.50E+02,7.36E+00,Original species length,1,1.70E+00,Original species length,6,m^3 per pred per day,228.69,2.59E-02,1.66E-02,4.57E-02,1.57E-03,8.92E-04,2.20E-03,,1
947,Krishnaraj & Pritchard 1995 CAN J ZOOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Lestes disjunctus,Small larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,Small,2,Mean,Y,48,23,,1,7.54E+01,2.50E+02,1.43E+00,Original species length,2,1.29E-01,Original species length,8,m^3 per pred per day,682.21,3.99E-02,2.67E-02,6.15E-02,2.56E-03,2.22E-03,2.85E-03,,1
948,Krishnaraj & Pritchard 1995 CAN J ZOOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Lestes disjunctus,Medium larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,Medium,2,Mean,Y,48,23,,1,7.54E+01,2.50E+02,3.87E+00,Original species length,3,6.97E-01,Original species length,7,m^3 per pred per day,697.45,4.22E-02,3.03E-02,5.98E-02,2.10E-03,1.87E-03,2.43E-03,,1
949,Krishnaraj & Pritchard 1995 CAN J ZOOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Lestes disjunctus,Large larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,Large,2,Mean,Y,48,23,,1,7.54E+01,2.50E+02,6.12E+00,Original species length,4,1.70E+00,Original species length,6,m^3 per pred per day,723.07,3.34E-02,2.34E-02,4.90E-02,1.75E-03,1.52E-03,1.97E-03,,1
950,Englund & Harms 2001 OIKOS,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Angiosperm,,Utricularia vulgaris,,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Polyphemus pediculus,,2,Mean,Y,24 to 168,22,,15,2.83E+01,1.25E+02,,,,2.48E-02,Average species mass,3,m^3 per pred per day,-16.88,2.98E-05,1.87E-05,4.98E-05,4.32E-01,3.68E-01,5.01E-01,Experiment done in 1995; predators are individual trapbladders,1
951,Englund & Harms 2001 OIKOS,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Angiosperm,,Utricularia vulgaris,,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Polyphemus pediculus,,2,Mean,Y,24 to 168,22,,15,2.83E+01,1.25E+02,,,,2.48E-02,Average species mass,3,m^3 per pred per day,-21.56,2.64E-05,1.72E-05,4.16E-05,4.16E-01,3.60E-01,4.95E-01,Experiment done in 1999; predators are individual trapbladders,1
952,Midthassel et al 2014 BIOCONTROL SCI TECH,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Typhlodromips swirskii,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Mite,Suidasia medanensis,Adult (starved for 24h),2,Mean,N,0,25,,1,2.54E+00,,5.33E-02,Alternate species length,1,,,,m^2 per pred per day,-40.86,2.97E-04,2.45E-04,3.72E-04,2.12E-01,1.88E-01,2.38E-01,,1
953,Midthassel et al 2014 BIOCONTROL SCI TECH,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Typhlodromips swirskii,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Mite,Suidasia medanensis,Protonymph,2,Mean,N,0,25,,1,2.54E+00,,5.33E-02,Alternate species length,1,,,,m^2 per pred per day,190.77,3.54E-04,3.27E-04,3.79E-04,2.97E-02,2.75E-02,3.20E-02,,1
954,Midthassel et al 2014 BIOCONTROL SCI TECH,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Typhlodromips swirskii,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Mite,Suidasia medanensis,Egg,2,Mean,N,0,25,,1,2.54E+00,,5.33E-02,Alternate species length,1,,,,m^2 per pred per day,252.03,4.06E-04,3.70E-04,4.54E-04,2.38E-02,2.25E-02,2.52E-02,,0
955,Maselou et al 2015 BULL INSECTOLOGY,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus pygmaeus,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Green peach aphid,Myzus persicae,2nd instar,2,Mean,N,24,,,1,6.36E+01,,3.29E+00,Alternate species length,2,8.63E-02,% adult mass,2,m^2 per pred per day,152.73,6.44E-03,5.69E-03,7.17E-03,1.40E-02,8.26E-03,1.91E-02,"Arena size is area of petri dish, not leaf disk. Starved on leaf. (1st day) Text on pg 212 interpretted as: consumed prey recorded after 1st 24 hrs, replaced. After another 24 hrs, consumed prey counted. (So only starved before first 24 hrs). Each 24 hr prey eaten count is separate (See Fig 1a where less prey were eaten on day 2 at density 16 indicating that 48 hr count is not cumulative)",1
956,Maselou et al 2015 BULL INSECTOLOGY,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus pygmaeus,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Green peach aphid,Myzus persicae,2nd instar,2,Mean,N,0,,,1,6.36E+01,,3.29E+00,Alternate species length,2,8.63E-02,% adult mass,2,m^2 per pred per day,216.67,6.17E-03,5.21E-03,7.23E-03,1.27E-02,4.08E-03,2.00E-02,"Arena size is area of petri dish, not leaf disk.Previously starved on leaf. (2nd day) Text on pg 212 interpretted as: consumed prey recorded after 1st 24 hrs, replaced. After another 24 hrs, consumed prey counted. (So only starved before first 24 hrs). Each 24 hr prey eaten count is separate (See Fig 1a where less prey were eaten on day 2 at density 16 indicating that 48 hr count is not cumulative)",1
957,Maselou et al 2015 BULL INSECTOLOGY,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus pygmaeus,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Green peach aphid,Myzus persicae,2nd instar,2,Mean,N,48,,,1,6.36E+01,,3.29E+00,Alternate species length,2,8.63E-02,% adult mass,2,m^2 per pred per day,178.48,5.76E-03,5.05E-03,6.63E-03,9.55E-03,4.12E-03,1.63E-02,"Arena size is area of petri dish, not leaf disk.Starved on leaf. (1st day) Text on pg 212 interpretted as: consumed prey recorded after 1st 24 hrs, replaced. After another 24 hrs, consumed prey counted. (So only starved before first 24 hrs). Each 24 hr prey eaten count is separate (See Fig 1a where less prey were eaten on day 2 at density 16 indicating that 48 hr count is not cumulative)",1
958,Maselou et al 2015 BULL INSECTOLOGY,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus pygmaeus,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Green peach aphid,Myzus persicae,2nd instar,2,Mean,N,0,,,1,6.36E+01,,3.29E+00,Alternate species length,2,8.63E-02,% adult mass,2,m^2 per pred per day,158.78,5.85E-03,5.19E-03,6.54E-03,7.89E-03,2.08E-03,1.29E-02,"Arena size is area of petri dish, not leaf disk.Previously starved on leaf. (2nd day) Text on pg 212 interpretted as: consumed prey recorded after 1st 24 hrs, replaced. After another 24 hrs, consumed prey counted. (So only starved before first 24 hrs). Each 24 hr prey eaten count is separate (See Fig 1a where less prey were eaten on day 2 at density 16 indicating that 48 hr count is not cumulative)",1
959,Maselou et al 2015 BULL INSECTOLOGY,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus pygmaeus,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Green peach aphid,Myzus persicae,2nd instar,2,Mean,N,48,,,1,6.36E+01,,3.29E+00,Alternate species length,2,8.63E-02,% adult mass,2,m^2 per pred per day,215.32,7.14E-03,6.32E-03,8.19E-03,1.87E-02,1.27E-02,2.67E-02,"Arena size is area of petri dish, not leaf disk.Starved on cotton. (1st day) Text on pg 212 interpretted as: consumed prey recorded after 1st 24 hrs, replaced. After another 24 hrs, consumed prey counted. (So only starved before first 24 hrs). Each 24 hr prey eaten count is separate (See Fig 1a where less prey were eaten on day 2 at density 16 indicating that 48 hr count is not cumulative)",1
960,Maselou et al 2015 BULL INSECTOLOGY,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus pygmaeus,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Green peach aphid,Myzus persicae,2nd instar,2,Mean,N,0,,,1,6.36E+01,,3.29E+00,Alternate species length,2,8.63E-02,% adult mass,2,m^2 per pred per day,199.15,6.87E-03,6.09E-03,7.93E-03,1.48E-02,9.45E-03,2.06E-02,"Arena size is area of petri dish, not leaf disk.Previously starved on cotton. (2nd day) Text on pg 212 interpretted as: consumed prey recorded after 1st 24 hrs, replaced. After another 24 hrs, consumed prey counted. (So only starved before first 24 hrs). Each 24 hr prey eaten count is separate (See Fig 1a where less prey were eaten on day 2 at density 16 indicating that 48 hr count is not cumulative)",1
961,Farazmand et al 2012 INT J ACAR,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,N,6,25,,1,7.07E+00,,6.13E-02,Alternate order mass,1,2.11E-03,Alternate species length,2,m^2 per pred per day,76.15,8.66E-04,7.29E-04,1.00E-03,6.36E-02,5.67E-02,7.01E-02,,0
962,Farazmand et al 2012 INT J ACAR,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,2,Mean,N,6,25,,1,7.07E+00,,6.13E-02,Alternate order mass,1,,,,m^2 per pred per day,57.01,7.42E-04,6.35E-04,8.56E-04,6.84E-02,6.34E-02,7.40E-02,,1
963,Farazmand et al 2012 INT J ACAR,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Typhlodromus bagdasarjani,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,N,6,25,,1,7.07E+00,,6.13E-02,Alternate order mass,1,2.11E-03,Alternate species length,2,m^2 per pred per day,104.46,8.36E-04,6.80E-04,1.05E-03,6.99E-02,6.22E-02,7.74E-02,,0
964,Farazmand et al 2012 INT J ACAR,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Typhlodromus bagdasarjani,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,2,Mean,N,6,25,,1,7.07E+00,,6.13E-02,Alternate order mass,1,,,,m^2 per pred per day,71.95,5.90E-04,4.80E-04,7.26E-04,9.61E-02,8.60E-02,1.07E-01,,1
965,Xiao & Fadamiro 2010 BIO CONTROL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Citrus red mite,Panonychus citri,Nymph,2,Mean,N,8,25,,1,5.03E+01,,6.66E-02,Alternate species length,1,1.15E-02,Alternate species length,5,m^2 per pred per day,88.6,1.81E-03,1.42E-03,2.21E-03,5.37E-02,4.17E-02,6.67E-02,,1
966,Xiao & Fadamiro 2010 BIO CONTROL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Galendromus occidentalis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Citrus red mite,Panonychus citri,Nymph,2,Mean,N,8,25,,1,5.03E+01,,6.13E-02,Alternate order mass,1,1.15E-02,Alternate species length,5,m^2 per pred per day,70.76,1.54E-03,1.20E-03,2.10E-03,6.60E-02,4.97E-02,8.57E-02,,1
967,Xiao & Fadamiro 2010 BIO CONTROL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Citrus red mite,Panonychus citri,Nymph,2,Mean,N,8,25,,1,5.03E+01,,6.13E-02,Alternate order mass,1,1.15E-02,Alternate species length,5,m^2 per pred per day,43.59,1.19E-03,9.10E-04,1.60E-03,7.44E-02,5.28E-02,9.85E-02,,1
968,Samu and Biro 1993 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa hortensis,Subadult female,3,Metazoan,Invertebrate,Insect,Diptera,House fly,Drosophila melanogaster,Vestigial winged,2,Mean,Y,72,,,1,6.36E+01,,1.01E+01,Alternate order length,2,9.38E-01,Average species mass,6,m^2 per pred per day,163.58,2.07E-02,1.28E-02,3.05E-02,5.87E-02,3.87E-02,7.68E-02,,1
969,Samu and Biro 1993 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa hortensis,Adult female,3,Metazoan,Invertebrate,Insect,Diptera,House fly,Drosophila melanogaster,Vestigial winged,2,Mean,Y,72,,,1,6.36E+01,,1.78E+01,Alternate species length,3,9.38E-01,Average species mass,6,m^2 per pred per day,907.49,1.11E-01,7.36E-02,1.66E-01,3.29E-02,2.63E-02,3.78E-02,,1
970,Smith thesis 1973,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Araneus diadematus,spiderling,2,Metazoan,Invertebrate,Insect,Hemiptera,Potato aphid,Macrosiphum euphorbiae ,,2,Mean,N,varied,,,1,4.00E+02,4.00E+03,1.01E+01,Alternate order length,3,1.32E+00,Alternate species length,1,m^2.5 per pred per day,-145.38,1.04E-03,6.21E-04,1.56E-03,1.86E+00,1.35E+00,2.47E+00,,1
971,Smith thesis 1973,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Araneus diadematus,spiderling,4,Metazoan,Invertebrate,Insect,Hemiptera,Aphid parasitoid,Aphidius nigripes,,3,Mean,N,varied,,,1,4.00E+02,4.00E+03,1.01E+01,Alternate order length,3,1.56E+01,Alternate order length,1,m^2.5 per pred per day,244.45,7.63E-03,2.69E-03,1.43E-02,2.35E-01,9.71E-02,3.30E-01,,1
972,Hardman and Turnbull 1980 Res Pop Ecol,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa vancouveri,Subadult female,3,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,"Adult, Vestigial winged",2,Mean,Y,,23,,1,2.28E+02,,7.44E+00,Original species length,4,9.38E-01,Average species mass,6,m^2 per pred per day,272.58,1.21E-01,7.13E-02,2.13E-01,1.17E-01,9.26E-02,1.40E-01,,1
973,Bressendorff and Toft 2011 BIOL LETT,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa amentata,Adult female,3,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,,2,Mean,Y,24,21,,1,1.54E+02,,3.12E+01,Alternate species length,4,9.38E-01,Average species mass,6,m^2 per pred per day,55.29,2.11E-02,1.23E-02,3.58E-02,1.09E-01,5.22E-02,1.62E-01,,1
974,Bressendorff and Toft 2011 BIOL LETT,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa amentata,Adult female,3,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,Nutritionally imbalanced,2,Mean,Y,24,21,,1,1.54E+02,,3.12E+01,Alternate species length,4,9.38E-01,Average species mass,6,m^2 per pred per day,37.24,2.66E-02,1.74E-02,4.24E-02,1.41E-01,1.12E-01,1.68E-01,,1
975,Bressendorff and Toft 2011 BIOL LETT,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa amentata,Subadult,3,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,,2,Mean,Y,24,21,,1,1.54E+02,,1.01E+01,Alternate order length,3,9.38E-01,Average species mass,6,m^2 per pred per day,-38.5,2.24E-02,1.20E-02,4.65E-02,5.90E-01,3.92E-01,7.89E-01,,1
976,Bressendorff and Toft 2011 BIOL LETT,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa amentata,Subadult,3,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,Nutritionally imbalanced,2,Mean,Y,24,21,,1,1.54E+02,,1.01E+01,Alternate order length,3,9.38E-01,Average species mass,6,m^2 per pred per day,-39.46,2.12E-02,1.27E-02,3.44E-02,4.78E-01,3.58E-01,6.06E-01,,1
977,Denno et al 2004 ECOL ENTO,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Grammonota trivittata,,3,Metazoan,Invertebrate,Insect,Hemiptera,Planthopper,Prokelisia spp.,2nd instar,2,Mean,N,168,,,1,4.42E+01,1.33E+03,3.38E+00,Original species length,1,9.70E-02,Original species length,1,m^2.5 per pred per day,-114.9,3.51E-04,3.31E-04,3.74E-04,2.88E-09,1.62E-09,1.22E-08,,1
978,Denno et al 2004 ECOL ENTO,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa littoralis,,4,Metazoan,Invertebrate,Arachnid,Spider,,Grammonota trivittata,,3,Mean,N,168,,,1,4.42E+01,1.33E+03,3.25E+01,Alternate species mass,1,3.38E+00,Original species length,1,m^2.5 per pred per day,-49.73,2.95E-04,2.45E-04,3.47E-04,4.11E-08,6.96E-09,2.41E-02,,1
979,Pekar et al 2014 J APPL ECOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Anyphaena accentuata,Juvenile & Subadult,3,Metazoan,Invertebrate,Insect,Hemiptera,Jumping plant louse,Cacopsylla pyri,Adult,2,Raw data,Y,240,-2,,1,2.83E+01,,1.19E+01,Original species mass,1,1.10E+00,Original species mass,2,m^2 per pred per day,-21.61,3.44E-03,2.56E-04,2.70E-02,8.12E-01,7.81E-04,1.38E+00,,1
980,Pekar et al 2014 J APPL ECOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Anyphaena accentuata,Juvenile & Subadult,3,Metazoan,Invertebrate,Insect,Hemiptera,Jumping plant louse,Cacopsylla pyri,Adult,2,Raw data,Y,240,0,,1,2.83E+01,,1.19E+01,Original species mass,1,1.10E+00,Original species mass,2,m^2 per pred per day,-9.33,4.20E-03,1.01E-03,3.40E-02,5.19E-01,3.27E-01,6.82E-01,,1
981,Pekar et al 2014 J APPL ECOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Anyphaena accentuata,Juvenile & Subadult,3,Metazoan,Invertebrate,Insect,Hemiptera,Jumping plant louse,Cacopsylla pyri,Adult,2,Raw data,Y,240,5,,1,2.83E+01,,1.19E+01,Original species mass,1,1.10E+00,Original species mass,2,m^2 per pred per day,12.16,7.61E-03,1.69E-03,2.86E-02,3.12E-01,1.85E-01,4.67E-01,,1
982,Pekar et al 2014 J APPL ECOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Anyphaena accentuata,Juvenile & Subadult,3,Metazoan,Invertebrate,Insect,Hemiptera,Jumping plant louse,Cacopsylla pyri,Adult,2,Raw data,Y,240,10,,1,2.83E+01,,1.19E+01,Original species mass,1,1.10E+00,Original species mass,2,m^2 per pred per day,37.98,1.03E-02,3.38E-03,2.51E-02,1.62E-01,1.00E-01,2.38E-01,,1
983,Pekar et al 2014 J APPL ECOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Anyphaena accentuata,Juvenile & Subadult,3,Metazoan,Invertebrate,Insect,Hemiptera,Jumping plant louse,Cacopsylla pyri,Adult,2,Raw data,Y,240,15,,1,2.83E+01,,1.19E+01,Original species mass,1,1.10E+00,Original species mass,2,m^2 per pred per day,33.28,4.51E-03,1.21E-03,8.50E-03,1.38E-01,2.41E-02,2.06E-01,,1
984,Pekar et al 2014 J APPL ECOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Philodromus spp.,Juvenile & Subadult,3,Metazoan,Invertebrate,Insect,Hemiptera,Jumping plant louse,Cacopsylla pyri,Adult,2,Raw data,Y,240,-2,,1,2.83E+01,,3.10E+00,Original species mass,2,1.10E+00,Original species mass,2,m^2 per pred per day,-31.99,1.60E-04,3.99E-05,3.15E-03,1.92E+00,1.11E-07,7.60E+00,,1
985,Pekar et al 2014 J APPL ECOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Philodromus spp.,Juvenile & Subadult,3,Metazoan,Invertebrate,Insect,Hemiptera,Jumping plant louse,Cacopsylla pyri,Adult,2,Raw data,Y,240,0,,1,2.83E+01,,3.10E+00,Original species mass,2,1.10E+00,Original species mass,2,m^2 per pred per day,-11.31,1.50E-03,5.18E-04,1.00E-02,8.03E-01,4.09E-01,1.34E+00,,1
